"id","host_since","host_location","host_response_time","host_response_rate","host_neighborhood","host_has_profile_pic","host_identity_verified","street","neighborhood","city","suburb","state","zipcode","smart_location","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","reviews_per_month","properties.ABB_NAME"
47100,"8/24/2010","Melbourne, Victoria, Australia","within a few hours","100%","Richmond","t","t","Richmond, VIC, Australia","Richmond","Yarra","Richmond","VIC","3121","Richmond, Australia",-37.81803739,145.0044164,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,Washer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Hot water"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Garden or backyard"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Step-free access"",""Wide doorway"",""Step-free access"",""Wide doorway"",""Step-free access"",""Wide entryway"",""Hot water kettle""}",98,800,NA,200,80,1,4,30,176,98,1.75,"Yarra"
50492,"10/31/2009","Melbourne, Victoria, Australia","within an hour","100%","St Kilda","t","t","St Kilda, VIC, Australia","St Kilda","Port Phillip","St Kilda","VIC","3182","St Kilda, Australia",-37.86127469,144.9803786,"t","Apartment","Entire home/apt",4,1,2,2,"Real Bed","{TV,Internet,Wifi,Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Long term stays allowed""}",190,1743,5572,500,110,1,3,28,44,97,0.6,"Port Phillip"
51592,"8/4/2010","Victoria, Australia","within an hour","100%","Central Business District","t","t","Melbourne, VIC, Australia","Central Business District","Melbourne","Melbourne","VIC","3000","Melbourne, Australia",-37.81485579,144.9626716,"t","Loft","Entire home/apt",4,1.5,1,2,"Real Bed","{TV,Internet,Wifi,Kitchen,""Paid parking off premises"",Breakfast,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Hot water"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Host greets you""}",228,1575,5100,250,40,2,2,90,196,99,2.07,"Melbourne"
58055,"11/3/2010","Melbourne, Victoria, Australia","within a few hours","100%","Brighton","t","f","Melbourne, VIC, Australia","Brighton","Bayside","Melbourne","VIC","3187","Melbourne, Australia",-37.92959204,145.0256775,"t","House","Private room",2,1,1,4,"Real Bed","{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",Washer,Dryer}",46,320,1150,NA,NA,1,2,730,18,85,0.19,"Bayside"
62606,"11/3/2010","Melbourne, Victoria, Australia","within a few hours","100%","Brighton","t","f","Melbourne, VIC, Australia","Brighton","Bayside","Melbourne","VIC","3187","Melbourne, Australia",-37.92817275,145.025176,"t","House","Private room",2,1,1,4,"Real Bed","{TV,Internet,Wifi,Kitchen,""Smoking allowed"",Breakfast,""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",Washer,Dryer}",50,300,1000,NA,NA,1,2,730,21,84,0.22,"Bayside"
65432,"11/3/2010","Melbourne, Victoria, Australia","within a few hours","100%","Brighton","t","f","Brighton East, VIC, Australia","Brighton","Bayside","Brighton East","VIC","3187","Brighton East, Australia",-37.9297903,145.0254793,"t","House","Private room",1,1,1,1,"Real Bed","{TV,Internet,Wifi,Kitchen,Breakfast,""Pets live on this property"",Dog(s),Washer,Essentials}",43,300,1100,NA,NA,1,2,60,42,81,0.44,"Bayside"
66754,"10/31/2009","Melbourne, Victoria, Australia","within an hour","100%","St Kilda","t","t","Richmond, VIC, Australia","Richmond","Yarra","Richmond","VIC","3121","Richmond, Australia",-37.8209164,144.9938393,"t","Apartment","Entire home/apt",4,1,1,2,"Real Bed","{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed""}",138,1183,4172,450,100,2,3,28,43,95,0.46,"Yarra"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68482,"12/3/2009","Melbourne, Victoria, Australia","N/A","N/A","Thornbury","t","t","Thornbury, VIC, Australia","Thornbury","Darebin","Thornbury","VIC","3071","Thornbury, Australia",-37.75861028,144.9892774,"t","House","Entire home/apt",4,1.5,3,3,"Real Bed","{TV,Internet,Wifi,Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo}",140,920,3000,300,50,3,5,365,5,95,0.08,"Darebin"
69421,"1/14/2011","Clifton Hill, Victoria, Australia","within a day","100%","Clifton Hill","t","t","Clifton Hill, VIC, Australia","Clifton Hill","Yarra","Clifton Hill","VIC","3068","Clifton Hill, Australia",-37.7878413,145.0054789,"t","Apartment","Entire home/apt",4,1,1,2,"Real Bed","{TV,Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),""Indoor fireplace"",Heating,""Family/kid friendly"",""Smoke detector"",""Fire extinguisher"",""translation missing: en.hosting_amenity_49""}",180,1000,4000,NA,50,2,2,90,1,100,0.03,"Yarra"
70004,"8/6/2010","Frankston, Victoria, Australia","within an hour","100%","","t","t","Frankston, VIC, Australia","","Frankston","Frankston","VIC","3199","Frankston, Australia",-38.14930782,145.1418968,"t","House","Private room",1,1,1,1,"Real Bed","{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Host greets you"",""Lake access""}",60,343,1260,0,29,1,2,300,26,100,0.45,"Frankston"
70328,"1/21/2011","Mordialloc, Victoria, Australia","within a few hours","100%","","t","t","Mordialloc, VIC, Australia","","Kingston","Mordialloc","VIC","3195","Mordialloc, Australia",-38.00546325,145.0854133,"t","Townhouse","Private room",2,1,1,1,"Real Bed","{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Breakfast,""Pets live on this property"",Cat(s),""Free street parking"",""Indoor fireplace"",Heating,Washer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Host greets you""}",68,385,1500,200,NA,1,1,14,101,98,1.07,"Kingston"
71156,"12/14/2010","Melbourne, Victoria, Australia","within a day","100%","Thornbury","t","f","Thornbury, VIC, Australia","Thornbury","Darebin","Thornbury","VIC","3071","Thornbury, Australia",-37.76249518,145.0085686,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","{Wifi,Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),Heating,""Smoke detector"",Essentials,Iron,""translation missing: en.hosting_amenity_49"",""Self check-in"",Lockbox}",60,200,800,0,20,2,3,5,4,95,0.35,"Darebin"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74324,"2/13/2011","Melbourne, Victoria, Australia","within an hour","100%","Fitzroy","t","t","Fitzroy, VIC, Australia","Fitzroy","Yarra","Fitzroy","VIC","3065","Fitzroy, Australia",-37.80275304,144.9761608,"t","Townhouse","Entire home/apt",5,1,2,2,"Real Bed","{TV,Internet,Wifi,Kitchen,""Paid parking off premises"",""Free street parking"",""Buzzer/wireless intercom"",Heating,Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Private living room"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Full kitchen""}",228,2437,8648,5503,142,1,30,300,67,96,1.54,"Yarra"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74715,"2/15/2011","Melbourne, Victoria, Australia","N/A","N/A","Northcote","t","t","Northcote, VIC, Australia","Northcote","Darebin","Northcote","VIC","3070","Northcote, Australia",-37.77257908,145.0099414,"t","House","Private room",2,1,1,1,"Futon","{TV,Wifi,Kitchen,Breakfast,""Free street parking"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",Bathtub,""Children’s books and toys"",""Children’s dinnerware"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Garden or backyard"",""Luggage dropoff allowed"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Step-free access""}",48,300,NA,NA,NA,2,2,30,88,94,0.94,"Darebin"
74959,"2/17/2011","Port Melbourne, Victoria, Australia","within an hour","100%","Port Melbourne","t","f","Port Melbourne, VIC, Australia","Port Melbourne","Port Phillip","Port Melbourne","VIC","3207","Port Melbourne, Australia",-37.84027741,144.9359466,"f","Townhouse","Private room",2,2.5,1,1,"Real Bed","{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Pets allowed"",Gym,""Pets live on this property"",Dog(s),""Free street parking"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Luggage dropoff allowed"",""Wide doorway"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Wide entryway"",""Host greets you"",""Full kitchen""}",96,665,NA,0,30,1,2,31,81,99,0.89,"Port Phillip"
76867,"2/26/2011","South Melbourne, Victoria, Australia","within an hour","100%","South Melbourne","t","t","South Melbourne, VIC, Australia","South Melbourne","Port Phillip","South Melbourne","VIC","3205","South Melbourne, Australia",-37.83228713,144.9684502,"t","Apartment","Private room",2,1.5,1,1,"Real Bed","{TV,Wifi,""Air conditioning"",Pool,Kitchen,""Paid parking off premises"",Gym,Elevator,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Private entrance"",Bathtub,""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Beach essentials"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Step-free access"",""Wide entryway""}",84,559,NA,NA,NA,1,2,7,234,97,2.49,"Port Phillip"
78143,"3/3/2011","Prahran, Victoria, Australia","within an hour","100%","Windsor","t","t","Prahran, VIC, Australia","Windsor","Stonnington","Prahran","VIC","3181","Prahran, Australia",-37.85309803,144.9901175,"t","Townhouse","Private room",2,1,2,2,"Real Bed","{TV,Wifi,Kitchen,Breakfast,""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",""Garden or backyard""}",98,600,NA,0,20,2,2,7,121,95,1.32,"Stonnington"
80986,"10/31/2009","Melbourne, Victoria, Australia","within an hour","100%","St Kilda","t","t","Richmond, VIC, Australia","Richmond","Yarra","Richmond","VIC","3121","Richmond, Australia",-37.81639403,145.0026174,"t","Apartment","Entire home/apt",3,1,1,2,"Real Bed","{TV,Internet,Wifi,Kitchen,""Free parking on premises"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,""Long term stays allowed""}",119,1043,3612,450,100,2,3,28,48,86,0.55,"Yarra"
86369,"9/27/2010","Australia","within an hour","100%","St Kilda East","t","f","Saint Kilda East, VIC, Australia","St Kilda East","Glen Eira","Saint Kilda East","Victoria","3183","Saint Kilda East, Australia",-37.8697119,145.0066165,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","{TV,Kitchen,""Free parking on premises"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout""}",109,700,1900,500,80,1,21,130,3,100,0.24,"Glen Eira"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111001,"5/9/2011","Melbourne, Victoria, Australia","within an hour","100%","South Melbourne","t","t","South Melbourne, VIC, Australia","South Melbourne","Port Phillip","South Melbourne","VIC","3205","South Melbourne, Australia",-37.8373889,144.9663735,"t","Hotel","Private room",2,1,1,1,"Real Bed","{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Elevator,""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Crib,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Step-free access"",""Wide doorway"",""Accessible-height toilet"",""Wide entryway"",""Host greets you"",""Handheld shower head"",""Fixed grab bars for shower"",""Fixed grab bars for toilet"",""Roll-in shower"",""Shower chair""}",80,700,2800,138,30,2,2,365,26,74,0.3,"Port Phillip"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136510,"6/5/2011","Melbourne, Victoria, Australia","within an hour","100%","Parkville","t","f","Parkville, VIC, Australia","Parkville","Melbourne","Parkville","VIC","3052","Parkville, Australia",-37.77919273,144.9404137,"t","Apartment","Private room",2,2,1,1,"Real Bed","{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,Gym,""Pets live on this property"",Cat(s),Elevator,""Free street parking"",""Indoor fireplace"",Washer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide doorway"",""Disabled parking spot"",""Step-free access"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Accessible-height toilet"",""Step-free access"",""Wide entryway"",""Host greets you""}",46,156,657,350,35,1,1,730,10,90,0.79,"Melbourne"
144236,"6/14/2011","Melbourne, Victoria, Australia","N/A","N/A","South Yarra","t","t","Melbourne, VIC, Australia","South Yarra","Melbourne","Melbourne","VIC","3004","Melbourne, Australia",-37.84499108,144.9792884,"t","Apartment","Private room",2,NA,1,1,"Real Bed","{TV,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,Doorman,Gym,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer}",245,1470,4900,550,110,1,2,730,0,NA,NA,"Melbourne"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156482,"6/16/2011","Melbourne, Victoria, Australia","within an hour","100%","Yarraville/Seddon","t","f","Yarraville, VIC, Australia","Yarraville/Seddon","Maribyrnong","Yarraville","VIC","3013","Yarraville, Australia",-37.81565273,144.8886978,"t","House","Entire home/apt",10,1,3,5,"Real Bed","{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Hot tub"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,Bathtub,""Changing table"",""High chair"",""Children’s books and toys"",Crib,""Pack ’n Play/travel crib"",""Children’s dinnerware"",""Hot water"",""Body soap"",""Bath towel"",""Toilet paper"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Bedroom comforts"",""Bathroom essentials""}",205,380,750,500,89,2,2,60,100,97,1.2,"Maribyrnong"
